-1.0,-1.0,14600,0
0,-1.0,-1.0,24400
1,0.0146,-1.0,22344
68500,0,0,-1.0
-1.0,20100,0,0
-1.0,-1.0,-1.0,0
0.0,0.0,31333.5,25700
0,0,-1.0,-1.0
17800,1,0.0047,-1.0
18784.5,19500,0,0
-1.0,24291,34300,0
0,-1.0,17663,-1.0
0,0,-1.0,8000
24300,0,0,-1.0
9500,16900,0,0
-1.0,21124.5,47000,0
0,-1.0,18350,-1.0
0,0,-1.0,3500
19000,1,0.0548,-1.0
23500,23100,0,0
-1.0,-1.0,38700,0
0,48000,25467.5,23500
0,0,-1.0,-1.0
17200,0,0,-1.0
9000,13300,0,0
-1.0,-1.0,19200,0
0,-1.0,-1.0,23000
1,0.0068,-1.0,-1.0
0.0,0,0.0,-1.0
25337.5,-1.0,0,0
0.0,-1.0,-1.0,0
0,-1.0,-1.0,20500
1,0.0063,30600,-1.0
-1.0,0,0,-1.0
6750,24600,0,0
-1.0,9340,23600,1
0.0135,-1.0,-1.0,19400
0,0,-1.0,4500
21800,0,0,-1.0
6700,21900,0,0
